district_id,district_name,area_total,rooms,floor,total_floors,is_top_floor,is_ground_floor,floor_ratio,area_per_room,building_type,repair_status,has_elevator,has_parking,has_balcony,price_usd,price_per_sqm,source,url
10,Сергелийский район,110.0,3,2,16,0,0,0.125,36.67,new,euro,1,0,1,99000,900.0,olx.uz,https://www.olx.uz/d/obyavlenie/yangi-darxon-kvartira-3-xona-ID4oy4O.html
5,Чиланзарский район,45.0,2,3,9,0,0,0.3333,22.5,brick,average,1,0,1,85000,1888.9,olx.uz,https://www.olx.uz/d/obyavlenie/chilanzar-pionerskiy-prodazha-ID4orHE.html
0,Юнусабадский район,30.0,1,5,11,0,0,0.4545,30.0,new,average,1,0,1,52500,1750.0,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-1komnatnaya-kvartira-ID4ooSv.html
2,Яккасарайский район,26.0,1,18,25,0,0,0.72,26.0,monolith,euro,1,0,1,97000,3730.8,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-evrokvartira-zhk-modera-towers-1-18-25-ID4oG0S.html
2,Яккасарайский район,40.0,2,6,14,0,0,0.4286,20.0,new,euro,1,0,1,73000,1825.0,olx.uz,https://www.olx.uz/d/obyavlenie/yakkasaroy-zhk-askiya-2-6-14-studiya-evro-remont-ID4ojlF.html
5,Чиланзарский район,80.0,3,3,9,0,0,0.3333,26.67,brick,euro,1,0,1,79000,987.5,olx.uz,https://www.olx.uz/d/obyavlenie/3-honali-80m2-kap-remont-kvartira-sotiladi-chilonzor-algoritm-g-35-ID4mHYI.html
6,Алмазарский район,55.0,2,4,4,1,0,1.0,27.5,panel,euro,0,0,1,59000,1072.7,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-kara-kamysh-2-4-2kom-peredelannaya-na-3-evroremont-ID4oxZ5.html
3,Мирабадский район,90.0,4,9,9,1,0,1.0,22.5,brick,average,1,0,1,128000,1422.2,olx.uz,https://www.olx.uz/d/obyavlenie/srochno-4-9-9-prodaetsya-mirabadskiy-rayon-ulitsa-nukusskaya-orentir-glamu-ID4ojNU.html
2,Яккасарайский район,98.0,4,5,5,1,0,1.0,24.5,panel,euro,1,0,1,115000,1173.5,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-4h-komnatnaya-bankovskaya-kvartira-98-kv-m-ID4mfaQ.html
0,Юнусабадский район,83.0,3,8,10,0,0,0.8,27.67,new,euro,1,0,1,225000,2710.8,olx.uz,https://www.olx.uz/d/obyavlenie/zhk-barocco-orientirgidromedtsentr3-8-1083mmeb-teh-balkon-otkrytyy-ID4ojNt.html
5,Чиланзарский район,66.0,3,3,4,0,0,0.75,22.0,panel,average,0,0,1,80000,1212.1,olx.uz,https://www.olx.uz/d/obyavlenie/chilanzar-17-ipoteka-3-3-4-parlament-mebel-tehnika-ID4oG0f.html
